eval,mean_best_f,std_best_f
407,24093.365746829077,0.0
408,24093.365746829077,0.0
409,24093.365746829077,0.0
410,24093.365746829077,0.0
411,24093.365746829077,0.0
412,24093.365746829077,0.0
413,24093.365746829077,0.0
414,24093.365746829077,0.0
415,24093.365746829077,0.0
416,24093.365746829077,0.0
417,24093.365746829077,0.0
418,24093.365746829077,0.0
419,24093.365746829077,0.0
420,24093.365746829077,0.0
421,24093.365746829077,0.0
422,24093.365746829077,0.0
423,24093.365746829077,0.0
424,24093.365746829077,0.0
425,24093.365746829077,0.0
426,24093.365746829077,0.0
427,24093.365746829077,0.0
428,24093.365746829077,0.0
429,24093.365746829077,0.0
430,24093.365746829077,0.0
431,24093.365746829077,0.0
432,24093.365746829077,0.0
433,24093.365746829077,0.0
434,24093.365746829077,0.0
435,24093.365746829077,0.0
436,24093.365746829077,0.0
437,24093.365746829077,0.0
438,24093.365746829077,0.0
439,24093.365746829077,0.0
440,24093.365746829077,0.0
441,24093.365746829077,0.0
442,24093.365746829077,0.0
443,24093.365746829077,0.0
444,24093.365746829077,0.0
445,24093.365746829077,0.0
446,24093.365746829077,0.0
447,24093.365746829077,0.0
448,24093.365746829077,0.0
449,24093.365746829077,0.0
450,24093.365746829077,0.0
451,24093.365746829077,0.0
452,24093.365746829077,0.0
453,24093.365746829077,0.0
454,24093.365746829077,0.0
455,24093.365746829077,0.0
456,24093.365746829077,0.0
457,24093.365746829077,0.0
458,24093.365746829077,0.0
459,24093.365746829077,0.0
460,24093.365746829077,0.0
461,24093.365746829077,0.0
462,24093.365746829077,0.0
463,24093.365746829077,0.0
464,24093.365746829077,0.0
465,24093.365746829077,0.0
466,24093.365746829077,0.0
467,24093.365746829077,0.0
468,24093.365746829077,0.0
469,24093.365746829077,0.0
470,24093.365746829077,0.0
471,24093.365746829077,0.0
472,24093.365746829077,0.0
473,24093.365746829077,0.0
474,24093.365746829077,0.0
475,24093.365746829077,0.0
476,24093.365746829077,0.0
477,24093.365746829077,0.0
478,24093.365746829077,0.0
479,24093.365746829077,0.0
480,24093.365746829077,0.0
481,24110.988349480926,0.0
482,24110.988349480926,0.0
483,24110.988349480926,0.0
484,24110.988349480926,0.0
485,24110.988349480926,0.0
486,24110.988349480926,0.0
487,24110.988349480926,0.0
488,24110.988349480926,0.0
489,24110.988349480926,0.0
490,24110.988349480926,0.0
491,24110.988349480926,0.0
492,24110.988349480926,0.0
493,24110.988349480926,0.0
494,24110.988349480926,0.0
495,24110.988349480926,0.0
496,24110.988349480926,0.0
497,24110.988349480926,0.0
498,24110.988349480926,0.0
499,24110.988349480926,0.0
500,24110.988349480926,0.0
501,24110.988349480926,0.0
502,24110.988349480926,0.0
503,24110.988349480926,0.0
504,24110.988349480926,0.0
505,24110.988349480926,0.0
506,24110.988349480926,0.0
507,24110.988349480926,0.0
508,24110.988349480926,0.0
509,24110.988349480926,0.0
510,24110.988349480926,0.0
511,24110.988349480926,0.0
512,24110.988349480926,0.0
513,24110.988349480926,0.0
514,24110.988349480926,0.0
515,24110.988349480926,0.0
516,24110.988349480926,0.0
517,24110.988349480926,0.0
518,24110.988349480926,0.0
519,24110.988349480926,0.0
520,24110.988349480926,0.0
521,24110.988349480926,0.0
522,24110.988349480926,0.0
523,24110.988349480926,0.0
524,24110.988349480926,0.0
525,24110.988349480926,0.0
526,24110.988349480926,0.0
527,24110.988349480926,0.0
528,24110.988349480926,0.0
529,24110.988349480926,0.0
530,24110.988349480926,0.0
531,24110.988349480926,0.0
532,24110.988349480926,0.0
533,24110.988349480926,0.0
534,24110.988349480926,0.0
535,24110.988349480926,0.0
536,24110.988349480926,0.0
537,24110.988349480926,0.0
538,24110.988349480926,0.0
539,24110.988349480926,0.0
540,24110.988349480926,0.0
541,24110.988349480926,0.0
542,24110.988349480926,0.0
543,24110.988349480926,0.0
544,24110.988349480926,0.0
545,24110.988349480926,0.0
546,24110.988349480926,0.0
547,24110.988349480926,0.0
548,24110.988349480926,0.0
549,24110.988349480926,0.0
550,24110.988349480926,0.0
551,24110.988349480926,0.0
552,24110.988349480926,0.0
553,24110.988349480926,0.0
