eval,mean_best_f,std_best_f
100,517.8,7.831853614214372
101,517.8333333333334,7.795150275401494
102,518.0333333333333,7.663092620198921
103,518.1333333333333,7.668715368449847
104,518.8666666666667,8.054698065076074
105,518.8666666666667,8.054698065076074
106,519.3333333333334,8.28514804701277
107,519.3333333333334,8.28514804701277
108,519.3333333333334,8.28514804701277
109,519.3333333333334,8.28514804701277
110,519.5333333333333,8.357253027216514
111,519.6666666666666,8.044416925928248
112,519.6666666666666,8.044416925928248
113,519.6666666666666,8.044416925928248
114,519.6666666666666,8.044416925928248
115,519.9333333333333,7.934791713726952
116,520.4666666666667,7.266993560083762
117,520.5,7.309653513180951
118,520.5,7.309653513180951
119,520.9333333333333,7.538102447283875
120,521.4,7.815104738195486
121,521.9333333333333,7.542675521523414
122,521.9666666666667,7.5497583123377305
123,522.1333333333333,7.514277597752958
124,522.1333333333333,7.514277597752958
125,522.2,7.429670248402682
126,522.4666666666667,7.190670839806032
127,522.6666666666666,7.241324575600473
128,522.6666666666666,7.241324575600473
129,523.3333333333334,6.9398068806148965
130,523.3333333333334,6.9398068806148965
131,523.6,7.3465919849344745
132,523.6,7.3465919849344745
133,523.6,7.3465919849344745
134,523.6,7.3465919849344745
135,524.0333333333333,7.141347952222511
136,524.3666666666667,7.369477281483323
137,524.4333333333333,7.403090376757315
138,524.4333333333333,7.403090376757315
139,524.4333333333333,7.403090376757315
140,524.4333333333333,7.403090376757315
141,524.4333333333333,7.403090376757315
142,524.4333333333333,7.403090376757315
143,524.5666666666667,7.541532512936488
144,525.1,8.21835624138701
145,525.1,8.21835624138701
146,525.1666666666666,8.115898970043554
147,525.1666666666666,8.115898970043554
148,525.1666666666666,8.115898970043554
149,525.2666666666667,8.119509639233716
150,525.2666666666667,8.119509639233716
151,525.3333333333334,8.142410612018569
152,525.3666666666667,8.13033202585077
153,525.4333333333333,8.118447844403438
154,525.6666666666666,8.027252432133636
155,525.7,8.000646525599427
156,525.7666666666667,7.925007705134223
157,525.7666666666667,7.925007705134223
158,526.3666666666667,7.681070926290983
159,526.4333333333333,7.686456218271348
160,526.4333333333333,7.686456218271348
161,527.0333333333333,7.378829611583509
162,527.0333333333333,7.378829611583509
163,527.0333333333333,7.378829611583509
164,527.6666666666666,7.567322367660303
165,527.6666666666666,7.567322367660303
166,527.9333333333333,7.229886884856229
167,527.9333333333333,7.229886884856229
168,528.1333333333333,7.045337579505713
169,528.4,6.87624596860014
170,528.4,6.87624596860014
171,528.6666666666666,6.691906245263922
172,528.6666666666666,6.691906245263922
173,528.8666666666667,6.668160752118381
174,529.0333333333333,6.499248409243756
175,529.4666666666667,6.505877095489064
176,529.5,6.500663096150667
177,529.5,6.500663096150667
178,529.5,6.500663096150667
179,529.5,6.500663096150667
180,529.7333333333333,6.538656053693737
181,529.7333333333333,6.538656053693737
182,529.7333333333333,6.538656053693737
183,529.7333333333333,6.538656053693737
184,529.7333333333333,6.538656053693737
185,529.7333333333333,6.538656053693737
186,530.0666666666667,6.596411424264025
187,530.0666666666667,6.596411424264025
188,530.1,6.645454759872889
189,530.3333333333334,6.839708268296411
190,530.3333333333334,6.839708268296411
191,530.4,6.734368874507177
192,530.8333333333334,6.341343996201508
193,530.8333333333334,6.341343996201508
194,530.9666666666667,6.167117100666512
195,530.9666666666667,6.167117100666512
196,530.9666666666667,6.167117100666512
197,530.9666666666667,6.167117100666512
198,530.9666666666667,6.167117100666512
199,530.9666666666667,6.167117100666512
